Seção;Divisão;Grupo;Classe;Denominação
OUTRAS ATIVIDADES DE SERVIÇOS;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;Outras atividades de serviços pessoais;96092;Atividades de serviços pessoais não especificadas anteriormente
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;Outras atividades de serviços prestados principalmente às empresas;82997;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;Atividades de teleatendimento;82202;Atividades de teleatendimento
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DE RÁDIO E DE TELEVISÃO;Atividades de televisão;60217;Atividades de televisão aberta
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;Atividades de vigilância, segurança privada e transporte de valores;80129;Atividades de transporte de valores
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;Atividades de vigilância, segurança privada e transporte de valores;80111;Atividades de vigilância e segurança privada
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;Atividades esportivas;93191;Atividades esportivas não especificadas anteriormente
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;Atividades fotográficas e similares;74200;Atividades fotográficas e similares
OUTRAS ATIVIDADES DE SERVIÇOS;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;Outras atividades de serviços pessoais;96033;Atividades funerárias e serviços relacionados
ATIVIDADES IMOBILIÁRIAS;ATIVIDADES IMOBILIÁRIAS;Atividades imobiliárias de imóveis próprios;68102;Atividades imobiliárias de imóveis próprios
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;Atividades jurídicas;69117;Atividades jurídicas, exceto cartórios
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;Atividades paisagísticas;81303;Atividades paisagísticas
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;Atividades profissionais, científicas e técnicas não especificadas anteriormente;74901;Atividades profissionais, científicas e técnicas não especificadas anteriormente
ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;ESGOTO E ATIVIDADES RELACIONADAS;Esgoto e atividades relacionadas;37029;Atividades relacionadas a esgoto, exceto a gestão de redes
TRANSPORTE, ARMAZENAGEM E CORREIO;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;Atividades relacionadas à organização do transporte de carga;52508;Atividades relacionadas à organização do transporte de carga
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS";Serviços de arquitetura e engenharia e atividades técnicas relacionadas;71197;Atividades técnicas relacionadas à arquitetura e engenharia
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;ATIVIDADES VETERINÁRIAS;Atividades veterinárias;75001;Atividades veterinárias
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde;66215;Avaliação de riscos e perdas
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Banco Central;64107;Banco Central
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação monetária - depósitos à vista;64212;Bancos comerciais
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação não-monetária - outros instrumentos de captação;64387;Bancos de câmbio e outras instituições de intermediação não-monetária
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação não-monetária - outros instrumentos de captação;64336;Bancos de desenvolvimento
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação não-monetária - outros instrumentos de captação;64328;Bancos de investimento
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação monetária - depósitos à vista;64221;Bancos múltiplos, com carteira comercial
